['02080000', 'Guard #1439 begins shift']
['02080006', 'falls asleep']
['02080028', 'wakes up']
['02082357', 'Guard #1439 begins shift']
['02090016', 'falls asleep']
['02090053', 'wakes up']
['02090056', 'falls asleep']
['02090057', 'wakes up']
['02092358', 'Guard #1439 begins shift']
['02100028', 'falls asleep']
['02100042', 'wakes up']
['02110001', 'Guard #3323 begins shift']
['02110021', 'falls asleep']
['02110040', 'wakes up']
['02112356', 'Guard #2251 begins shift']
['02120037', 'falls asleep']
['02120047', 'wakes up']
['02120055', 'falls asleep']
['02120058', 'wakes up']
['02122358', 'Guard #3449 begins shift']
['02140001', 'Guard #2251 begins shift']
['02140043', 'falls asleep']
['02140050', 'wakes up']
['02142357', 'Guard #1597 begins shift']
['02150034', 'falls asleep']
['02150041', 'wakes up']
['02152359', 'Guard #1213 begins shift']
['02160008', 'falls asleep']
['02160023', 'wakes up']
['02160044', 'falls asleep']
['02160051', 'wakes up']
['02160056', 'falls asleep']
['02160059', 'wakes up']
['02162359', 'Guard #2753 begins shift']
['02170013', 'falls asleep']
['02170027', 'wakes up']
['02170038', 'falls asleep']
['02170058', 'wakes up']
['02172357', 'Guard #1213 begins shift']
['02180013', 'falls asleep']
['02180025', 'wakes up']
['02182351', 'Guard #2753 begins shift']
['02190004', 'falls asleep']
['02190046', 'wakes up']
['02200000', 'Guard #1999 begins shift']
['02202357', 'Guard #3323 begins shift']
['02210038', 'falls asleep']
['02210045', 'wakes up']
['02210049', 'falls asleep']
['02210050', 'wakes up']
['02210054', 'falls asleep']
['02210058', 'wakes up']
['02212358', 'Guard #1733 begins shift']
['02220045', 'falls asleep']
['02220059', 'wakes up']
['02222359', 'Guard #1439 begins shift']
['02230030', 'falls asleep']
['02230044', 'wakes up']
['02232349', 'Guard #1283 begins shift']
['02240001', 'falls asleep']
['02240019', 'wakes up']
['02242353', 'Guard #2971 begins shift']
['02250000', 'falls asleep']
['02250031', 'wakes up']
['02250041', 'falls asleep']
['02250045', 'wakes up']
['02252357', 'Guard #1733 begins shift']
['02260032', 'falls asleep']
['02260051', 'wakes up']
['02262358', 'Guard #2251 begins shift']
['02270030', 'falls asleep']
['02270034', 'wakes up']
['02280002', 'Guard #2903 begins shift']
['02280025', 'falls asleep']
['02280028', 'wakes up']
['02280040', 'falls asleep']
['02280048', 'wakes up']
['03010004', 'Guard #2971 begins shift']
['03010023', 'falls asleep']
['03010055', 'wakes up']
['03012359', 'Guard #1597 begins shift']
['03020017', 'falls asleep']
['03020058', 'wakes up']
['03022348', 'Guard #2851 begins shift']
['03030000', 'falls asleep']
['03030015', 'wakes up']
['03030050', 'falls asleep']
['03030057', 'wakes up']
['03040004', 'Guard #1733 begins shift']
['03040010', 'falls asleep']
['03040051', 'wakes up']
['03040055', 'falls asleep']
['03040058', 'wakes up']
['03042354', 'Guard #1223 begins shift']
['03050004', 'falls asleep']
['03050042', 'wakes up']
['03052357', 'Guard #3023 begins shift']
['03060045', 'falls asleep']
['03060056', 'wakes up']
['03062356', 'Guard #2707 begins shift']
['03070023', 'falls asleep']
['03070025', 'wakes up']
['03072346', 'Guard #1223 begins shift']
['03080000', 'falls asleep']
['03080005', 'wakes up']
['03080017', 'falls asleep']
['03080029', 'wakes up']
['03080038', 'falls asleep']
['03080045', 'wakes up']
['03090004', 'Guard #233 begins shift']
['03100000', 'Guard #3449 begins shift']
['03102359', 'Guard #2251 begins shift']
['03110024', 'falls asleep']
['03110051', 'wakes up']
['03112347', 'Guard #1223 begins shift']
['03120003', 'falls asleep']
['03120018', 'wakes up']
['03120036', 'falls asleep']
['03120049', 'wakes up']
['03130000', 'Guard #859 begins shift']
['03130028', 'falls asleep']
['03130046', 'wakes up']
['03140000', 'Guard #2971 begins shift']
['03140013', 'falls asleep']
['03140049', 'wakes up']
['03150000', 'Guard #1283 begins shift']
['03150012', 'falls asleep']
['03150016', 'wakes up']
['03150046', 'falls asleep']
['03150051', 'wakes up']
['03152357', 'Guard #1597 begins shift']
['03160028', 'falls asleep']
['03160055', 'wakes up']
['03170000', 'Guard #3449 begins shift']
['03180004', 'Guard #1733 begins shift']
['03180034', 'falls asleep']
['03180048', 'wakes up']
['03182356', 'Guard #859 begins shift']
['03190016', 'falls asleep']
['03190027', 'wakes up']
['03190035', 'falls asleep']
['03190037', 'wakes up']
['03200004', 'Guard #887 begins shift']
['03200026', 'falls asleep']
['03200036', 'wakes up']
['03200040', 'falls asleep']
['03200057', 'wakes up']
['03210000', 'Guard #859 begins shift']
['03210021', 'falls asleep']
['03210024', 'wakes up']
['03210037', 'falls asleep']
['03210055', 'wakes up']
['03212356', 'Guard #887 begins shift']
['03220031', 'falls asleep']
['03220037', 'wakes up']
['03222350', 'Guard #2753 begins shift']
['03230005', 'falls asleep']
['03230033', 'wakes up']
['03230050', 'falls asleep']
['03230052', 'wakes up']
['03240000', 'Guard #859 begins shift']
['03240007', 'falls asleep']
['03240012', 'wakes up']
['03240037', 'falls asleep']
['03240047', 'wakes up']
['03240052', 'falls asleep']
['03240057', 'wakes up']
['03250002', 'Guard #911 begins shift']
['03250030', 'falls asleep']
['03250059', 'wakes up']
['03260002', 'Guard #2851 begins shift']
['03260042', 'falls asleep']
['03260059', 'wakes up']
['03270001', 'Guard #2251 begins shift']
['03270033', 'falls asleep']
['03270038', 'wakes up']
['03280000', 'Guard #1597 begins shift']
['03280041', 'falls asleep']
['03280051', 'wakes up']
['03280056', 'falls asleep']
['03280057', 'wakes up']
['03282353', 'Guard #1213 begins shift']
['03290002', 'falls asleep']
['03290011', 'wakes up']
['03290016', 'falls asleep']
['03290048', 'wakes up']
['03300002', 'Guard #3121 begins shift']
['03300024', 'falls asleep']
['03300056', 'wakes up']
['03302359', 'Guard #233 begins shift']
['04010001', 'Guard #2851 begins shift']
['04010034', 'falls asleep']
['04010047', 'wakes up']
['04010053', 'falls asleep']
['04010057', 'wakes up']
['04012356', 'Guard #2851 begins shift']
['04020023', 'falls asleep']
['04020053', 'wakes up']
['04020056', 'falls asleep']
['04020058', 'wakes up']
['04030004', 'Guard #859 begins shift']
['04030034', 'falls asleep']
['04030057', 'wakes up']
['04032352', 'Guard #2753 begins shift']
['04040003', 'falls asleep']
['04040038', 'wakes up']
['04042357', 'Guard #1439 begins shift']
['04050032', 'falls asleep']
['04050049', 'wakes up']
['04060004', 'Guard #1223 begins shift']
['04060042', 'falls asleep']
['04060051', 'wakes up']
['04062350', 'Guard #3121 begins shift']
['04070002', 'falls asleep']
['04070032', 'wakes up']
['04070036', 'falls asleep']
['04070053', 'wakes up']
['04080001', 'Guard #1283 begins shift']
['04080021', 'falls asleep']
['04080043', 'wakes up']
['04080046', 'falls asleep']
['04080051', 'wakes up']
['04082359', 'Guard #1223 begins shift']
['04090012', 'falls asleep']
['04090045', 'wakes up']
['04090055', 'falls asleep']
['04090058', 'wakes up']
['04100000', 'Guard #1733 begins shift']
['04100024', 'falls asleep']
['04100054', 'wakes up']
['04102356', 'Guard #2903 begins shift']
['04110037', 'falls asleep']
['04110042', 'wakes up']
['04110050', 'falls asleep']
['04110057', 'wakes up']
['04120001', 'Guard #3023 begins shift']
['04120011', 'falls asleep']
['04120017', 'wakes up']
['04120038', 'falls asleep']
['04120055', 'wakes up']
['04130003', 'Guard #1733 begins shift']
['04130020', 'falls asleep']
['04130050', 'wakes up']
['04132359', 'Guard #1231 begins shift']
['04140006', 'falls asleep']
['04140056', 'wakes up']
['04150004', 'Guard #1637 begins shift']
['04150015', 'falls asleep']
['04150021', 'wakes up']
['04150033', 'falls asleep']
['04150054', 'wakes up']
['04152353', 'Guard #1439 begins shift']
['04160000', 'falls asleep']
['04160004', 'wakes up']
['04160016', 'falls asleep']
['04160040', 'wakes up']
['04170001', 'Guard #2851 begins shift']
['04170023', 'falls asleep']
['04170042', 'wakes up']
['04180000', 'Guard #3121 begins shift']
['04180006', 'falls asleep']
['04180024', 'wakes up']
['04180038', 'falls asleep']
['04180051', 'wakes up']
['04182357', 'Guard #3323 begins shift']
['04190043', 'falls asleep']
['04190049', 'wakes up']
['04190052', 'falls asleep']
['04190053', 'wakes up']
['04190056', 'falls asleep']
['04190057', 'wakes up']
['04192347', 'Guard #3323 begins shift']
['04200005', 'falls asleep']
['04200056', 'wakes up']
['04210002', 'Guard #1439 begins shift']
['04210032', 'falls asleep']
['04210054', 'wakes up']
['04220004', 'Guard #3121 begins shift']
['04220007', 'falls asleep']
['04220010', 'wakes up']
['04220022', 'falls asleep']
['04220030', 'wakes up']
